Date,Open,High,Low,Close,Adj Close,Volume,Date,normalized TSX
2013-09-04,12740.5,12758.90039,12692.09961,12757.79981,12757.79981,124533100,2013-09-04,0.983524355
2013-09-05,12757.79981,12851.7002,12757.79981,12845.09961,12845.09961,161151900,2013-09-05,0.929706511
2013-09-06,12845.09961,12888.7002,12796.7002,12820.90039,12820.90039,1386000,2013-09-06,0.263045609
2013-09-09,12820.90039,12861.40039,12820.90039,12854.59961,12854.59961,116086200,2013-09-09,0.832079457
2013-09-10,12854.59961,12854.59961,12793.7002,12824.5,12824.5,1529800,2013-09-10,0.505748791
2013-09-11,12824.5,12840.40039,12764.5,12825.40039,12825.40039,139019400,2013-09-11,0.80237256
2013-09-12,12825.40039,12825.40039,12693.90039,12701,12701,144151300,2013-09-12,0.053989422
2013-09-13,12701.09961,12761.09961,12701.09961,12723.40039,12723.40039,1340600,2013-09-13,0.3716797
2013-09-16,12723.40039,12847.79981,12723.40039,12816.90039,12816.90039,1906200,2013-09-16,0.751611258
2013-09-17,12816.90039,12847.2002,12812.2002,12834.09961,12834.09961,128785200,2013-09-17,0.625697543
2013-09-18,12834.09961,12958.90039,12794.90039,12931.40039,12931.40039,218093300,2013-09-18,0.832317073
2013-09-19,12931.40039,12964.90039,12892.79981,12926.79981,12926.79981,164904300,2013-09-19,0.471563435
2013-09-20,12926.7002,12942.7002,12806.5,12806.5,12806.5,458819700,2013-09-20,0
2013-09-23,12806.5,12828.40039,12798.29981,12811.2002,12811.2002,151447800,2013-09-23,0.428576042
2013-09-24,12809.59961,12878.7002,12784.09961,12848.90039,12848.90039,149410500,2013-09-24,0.684993452
2013-09-25,12848.90039,12913.59961,12832.5,12836.7002,12836.7002,160862300,2013-09-25,0.05179057
2013-09-26,12836.7002,12905.09961,12836.7002,12841.59961,12841.59961,128192200,2013-09-26,0.071629473
2013-09-27,12841.59961,12865.90039,12818.09961,12844.09961,12844.09961,130691300,2013-09-27,0.543924156
2013-09-30,12843.2002,12858.59961,12734.7002,12787.2002,12787.2002,172227500,2013-09-30,0.423730818
2013-10-01,12787.2002,12866.90039,12753.40039,12847.40039,12847.40039,166036300,2013-10-01,0.828193833
2013-10-02,12847.40039,12853.29981,12790.09961,12839,12839,149800900,2013-10-02,0.773737964
2013-10-03,12839,12844.90039,12700.40039,12735.09961,12735.09961,137555300,2013-10-03,0.240132997
2013-10-04,12735.09961,12787.09961,12730,12758.7002,12758.7002,129490600,2013-10-04,0.502633827
2013-10-07,12758.7002,12814.7002,12704.59961,12788.29981,12788.29981,123590300,2013-10-07,0.760215718
2013-10-08,12788.29981,12824.2002,12682.90039,12692.40039,12692.40039,140463900,2013-10-08,0.067232931
2013-10-09,12692.40039,12763.5,12678,12730.29981,12730.29981,151681000,2013-10-09,0.611693626
2013-10-10,12730.29981,12934.59961,12730.29981,12894.40039,12894.40039,163858200,2013-10-10,0.803234182
2013-10-11,12894.40039,12924.90039,12874.09961,12892.09961,12892.09961,115807100,2013-10-11,0.354325254
2013-10-15,12892.09961,12934.5,12839.29981,12931.5,12931.5,128012800,2013-10-15,0.96848746
2013-10-16,12931.5,12957.2002,12912.2002,12957.2002,12957.2002,119941300,2013-10-16,1
2013-10-17,12956.90039,13042.09961,12951.29981,13036.40039,13036.40039,148061500,2013-10-17,0.937233146
2013-10-18,13035.90039,13156.79981,13035.90039,13136.09961,13136.09961,155385800,2013-10-18,0.828781668
2013-10-21,13136.09961,13190.90039,13136.09961,13186.5,13186.5,141919000,2013-10-21,0.91970204
2013-10-22,13186.5,13291.2002,13186.5,13248.09961,13248.09961,203811000,2013-10-22,0.58834283
2013-10-23,13248.09961,13308.2002,13226.2002,13243.29981,13243.29981,195689100,2013-10-23,0.208531829
2013-10-24,13243.29981,13329.29981,13243.29981,13324.79981,13324.79981,206167100,2013-10-24,0.947674419
2013-10-25,13324.79981,13402.40039,13315.79981,13399.40039,13399.40039,146249700,2013-10-25,0.965358202
2013-10-28,13399.40039,13416.2002,13366.29981,13371.79981,13371.79981,135952600,2013-10-28,0.110219579
2013-10-29,13371.79981,13443.29981,13371.79981,13440.59961,13440.59961,149841200,2013-10-29,0.962235021
2013-10-30,13440.59961,13471.09961,13365,13455.29981,13455.29981,173296900,2013-10-30,0.851085182
2013-10-31,13454.2002,13463.7002,13361.29981,13361.29981,13361.29981,213910000,2013-10-31,0
2013-11-01,13362.90039,13402.5,13326.2002,13337.5,13337.5,176205600,2013-11-01,0.14809743
2013-11-04,13337.5,13374,13309.59961,13361.79981,13361.79981,142472000,2013-11-04,0.810557128
2013-11-05,13361.7002,13364,13305.2002,13361.7002,13361.7002,163246500,2013-11-05,0.96088754
2013-11-06,13361.7002,13412.29981,13354.29981,13380.40039,13380.40039,154878200,2013-11-06,0.450010103
2013-11-07,13380.40039,13394.2002,13285.2002,13294.2002,13294.2002,1841000,2013-11-07,0.082568807
2013-11-08,13294.2002,13394.29981,13291.40039,13378.29981,13378.29981,179029500,2013-11-08,0.844508347
2013-11-11,13378.29981,13393.59961,13358.40039,13358.40039,13358.40039,106102900,2013-11-11,0
2013-11-12,13358.40039,13378.5,13324.7002,13326,13326,155088500,2013-11-12,0.024160032
2013-11-13,13325.90039,13379.29981,13289.79981,13370.7002,13370.7002,174996700,2013-11-13,0.903914972
2013-11-14,13370.7002,13460.79981,13370.7002,13431.40039,13431.40039,172624100,2013-11-14,0.673700985
2013-11-15,13431.40039,13490.2002,13431.40039,13482.59961,13482.59961,150691000,2013-11-15,0.870737902
2013-11-18,13482.59961,13512.5,13441.40039,13458.09961,13458.09961,141548500,2013-11-18,0.234870743
2013-11-19,13458.09961,13497.5,13442.5,13442.79981,13442.79981,1384600,2013-11-19,0.005451
2013-11-20,13442.79981,13460,13387.29981,13430,13430,169460800,2013-11-20,0.587346361
2013-11-21,13430.09961,13505.40039,13430.09961,13475.29981,13475.29981,178716100,2013-11-21,0.600261973
2013-11-22,13475.29981,13517,13469.2002,13478.29981,13478.29981,1441800,2013-11-22,0.190369187
