"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 29-Jun-2014",45714.11,44911.95,45233.23,,1421.87,1396.92,1406.91,
"00:00:00 19-Jun-2014",45993.36,44422.39,45135.11,,1430.55,1381.69,1403.86,
"00:00:00 09-Jun-2014",44857.57,43848.91,44549.08,,1395.23,1363.85,1385.63,
"00:00:00 30-May-2014",44214.35,43288.11,44095.67,,1375.22,1346.41,1371.53,
"00:00:00 20-May-2014",45763.76,43705.01,43803.66,,1423.41,1359.38,1362.45,
"00:00:00 10-May-2014",45870.87,44861.50,45222.52,,1426.74,1395.35,1406.58,
"00:00:00 30-Apr-2014",46456.30,44784.71,45147.85,,1444.95,1392.96,1404.26,
"00:00:00 20-Apr-2014",46347.58,44975.24,45645.26,,1441.57,1398.89,1419.73,
"00:00:00 10-Apr-2014",46963.25,45644.88,45904.11,,1460.72,1419.71,1427.78,
"00:00:00 31-Mar-2014",46189.75,45332.51,45870.19,,1436.66,1410.00,1426.72,
"00:00:00 21-Mar-2014",48540.74,45603.43,46053.34,,1509.79,1418.43,1432.42,
"00:00:00 11-Mar-2014",49681.55,47682.46,48112.77,,1545.27,1483.09,1496.47,
"00:00:00 01-Mar-2014",48312.55,47184.11,47911.60,,1502.69,1467.59,1490.22,
"00:00:00 19-Feb-2014",47933.31,46206.71,47184.11,,1490.89,1437.19,1467.59,
"00:00:00 09-Feb-2014",46937.73,44900.13,46508.46,,1459.93,1396.55,1446.57,
"00:00:00 30-Jan-2014",45568.28,44256.60,44949.75,,1417.33,1376.53,1398.09,
"00:00:00 20-Jan-2014",45638.86,43600.87,45549.28,,1419.53,1356.14,1416.74,
"00:00:00 10-Jan-2014",44427.88,42818.13,44301.85,,1381.86,1331.79,1377.94,
"00:00:00 31-Dec-2013",42987.87,40509.83,42857.73,,1337.07,1260.00,1333.02,
"00:00:00 21-Dec-2013",41873.33,40747.26,41026.97,,1302.41,1267.38,1276.08,
"00:00:00 11-Dec-2013",43054.50,40711.04,41140.71,,1339.14,1266.25,1279.62,
"00:00:00 01-Dec-2013",43295.61,41569.18,43010.96,,1346.64,1292.95,1337.79,
"00:00:00 21-Nov-2013",42756.50,41697.96,42697.54,,1329.88,1296.95,1328.04,
"00:00:00 11-Nov-2013",43752.89,41728.13,41934.61,,1360.87,1297.89,1304.31,
"00:00:00 01-Nov-2013",44534.20,43243.03,43403.05,,1385.17,1345.01,1349.99,
"00:00:00 22-Oct-2013",45734.93,43398.98,44384.64,,1422.52,1349.86,1380.52,
