2015-07-07	1.2712
2015-07-08	1.274
2015-07-09	1.2707
2015-07-10	1.2679
2015-07-13	1.274
2015-07-14	1.274
2015-07-15	1.292
2015-07-16	1.297
2015-07-17	1.2987
2015-07-20	1.2997
2015-07-21	1.2948
2015-07-22	1.3037
2015-07-23	1.3039
2015-07-24	1.3035
2015-07-27	1.3045
2015-07-28	1.2927
2015-07-29	1.2944
2015-07-30	1.301
2015-07-31	1.308
2015-08-04	1.318
2015-08-05	1.3188
2015-08-06	1.3108
2015-08-07	1.3133
2015-08-10	1.3001
2015-08-11	1.3104
2015-08-12	1.2973
2015-08-13	1.3064
2015-08-14	1.3092
2015-08-17	1.3085
2015-08-18	1.3056
2015-08-19	1.311
2015-08-20	1.3081
2015-08-21	1.3169
2015-08-24	1.3262
2015-08-25	1.3346
2015-08-26	1.3322
2015-08-27	1.3218
2015-08-28	1.3215
2015-08-31	1.3157
2015-09-01	1.3222
2015-09-02	1.3271
2015-09-03	1.3194
2015-09-04	1.3265
2015-09-08	1.3205
2015-09-09	1.325
2015-09-10	1.3228
2015-09-11	1.3254
2015-09-14	1.3257
2015-09-15	1.3247
2015-09-16	1.3171
2015-09-17	1.3174
2015-09-18	1.3217
2015-09-21	1.3245
2015-09-22	1.3258
2015-09-23	1.3347
2015-09-24	1.3318
2015-09-25	1.3316
2015-09-28	1.3394
2015-09-29	1.3418
2015-09-30	1.3345
2015-10-01	1.3255
2015-10-02	1.3164
2015-10-05	1.3087
2015-10-06	1.3027
2015-10-07	1.3065
2015-10-08	1.3017
2015-10-09	1.2937
2015-10-13	1.3019
2015-10-14	1.2922
2015-10-15	1.2847
2015-10-16	1.2911
2015-10-19	1.3019
2015-10-20	1.2982
2015-10-21	1.3137
2015-10-22	1.3107
2015-10-23	1.3175
2015-10-26	1.3163
2015-10-27	1.3266
2015-10-28	1.3192
2015-10-29	1.3167
2015-10-30	1.3075
2015-11-02	1.3099
2015-11-03	1.3052
2015-11-04	1.3157
2015-11-05	1.3168
2015-11-06	1.3296
2015-11-09	1.3275
2015-11-10	1.3265
2015-11-12	1.3282
2015-11-13	1.3318
2015-11-16	1.3325
2015-11-17	1.3308
2015-11-18	1.3318
2015-11-19	1.3297
2015-11-20	1.3345
2015-11-23	1.3373
2015-11-24	1.3309
2015-11-25	1.3296
2015-11-26	1.3294
2015-11-27	1.3372
2015-11-30	1.3353
2015-12-01	1.3364
2015-12-02	1.3349
2015-12-03	1.3338
2015-12-04	1.3377
2015-12-07	1.3513
2015-12-08	1.3587
2015-12-09	1.3564
2015-12-10	1.3632
2015-12-11	1.3742
2015-12-14	1.3738
2015-12-15	1.3738
2015-12-16	1.3785
2015-12-17	1.395
2015-12-18	1.3945
2015-12-21	1.3965
2015-12-22	1.3937
2015-12-23	1.3857
2015-12-24	1.3845
2015-12-29	1.3823
2015-12-30	1.3885
2015-12-31	1.384
2016-01-04	1.3941
2016-01-05	1.3989
2016-01-06	1.408
2016-01-07	1.4097
2016-01-08	1.4149
2016-01-11	1.4223
2016-01-12	1.4257
2016-01-13	1.4345
2016-01-14	1.4362
2016-01-15	1.453
2016-01-18	1.4557
2016-01-19	1.4559
2016-01-20	1.449
2016-01-21	1.4279
2016-01-22	1.415
2016-01-25	1.427
2016-01-26	1.4075
2016-01-27	1.4103
2016-01-28	1.4048
2016-01-29	1.4006
2016-02-01	1.393
2016-02-02	1.4027
2016-02-03	1.3773
2016-02-04	1.3745
2016-02-05	1.3908
2016-02-08	1.3934
2016-02-09	1.3879
2016-02-10	1.3933
2016-02-11	1.3921
2016-02-12	1.3861
2016-02-16	1.3881
2016-02-17	1.3705
2016-02-18	1.3749
2016-02-19	1.3769
2016-02-22	1.3712
2016-02-23	1.3768
2016-02-24	1.3687
2016-02-25	1.3541
2016-02-26	1.3514
2016-02-29	1.3531
2016-03-01	1.3414
2016-03-02	1.3427
2016-03-03	1.3396
2016-03-04	1.3324
2016-03-07	1.3276
2016-03-08	1.3416
2016-03-09	1.325
2016-03-10	1.3346
2016-03-11	1.3231
2016-03-14	1.3267
2016-03-15	1.3362
2016-03-16	1.3122
2016-03-17	1.2989
2016-03-18	1.3037
2016-03-21	1.3085
2016-03-22	1.3035
2016-03-23	1.3214
2016-03-24	1.324
2016-03-28	1.3181
2016-03-29	1.3065
2016-03-30	1.2965
2016-03-31	1.2987
2016-04-01	1.3014
2016-04-04	1.3072
2016-04-05	1.3157
2016-04-06	1.3094
2016-04-07	1.3144
2016-04-08	1.3002
2016-04-11	1.2899
2016-04-12	1.2759
2016-04-13	1.2815
2016-04-14	1.2849
2016-04-15	1.2837
2016-04-18	1.2797
2016-04-19	1.266
2016-04-20	1.265
2016-04-21	1.2727
2016-04-22	1.2671
2016-04-25	1.2686
2016-04-26	1.2621
